Prompt|Expected|Generated|Status
The current president of the US is Franklin Pierce. The name of the president 10 years ago was|John Tyler|""" Franklin Pierce."|
Franklin Pierce is the current U.S. president. The name of the U.S. president 10 years ago was|John Tyler|""" Bill Clinton."|
The name of the president 10 years before Franklin Pierce was|John Tyler|""" a common one in the state of New Hampshire."|
US president Franklin Pierce was inaugurated today. The name of the president in office 10 years ago was|John Tyler|""" Franklin Pierce."|
The current president of the US is Abraham Lincoln. The name of the president 10 years ago was|Millard Fillmore|""" Bill Clinton."|
Abraham Lincoln is the current U.S. president. The name of the U.S. president 10 years ago was|Millard Fillmore|""" Bill Clinton."|
The name of the president 10 years before Abraham Lincoln was|Millard Fillmore|""" elected president."|
US president Abraham Lincoln was inaugurated today. The name of the president in office 10 years ago was|Millard Fillmore|""" George W. Bush."|
The current president of the US is Ulysses S. Grant. The name of the president 10 years ago was|James Buchanan|""" Bill Clinton."|
Ulysses S. Grant is the current U.S. president. The name of the U.S. president 10 years ago was|James Buchanan|""" Bill Clinton."|
The name of the president 10 years before Ulysses S. Grant was|James Buchanan|""" a man named Ulysses S. Grant."|
US president Ulysses S. Grant was inaugurated today. The name of the president in office 10 years ago was|James Buchanan|""" James Buchanan."|
The current president of the US is Rutherford B. Hayes. The name of the president 10 years ago was|Andrew Johnson|""" Calvin Coolidge."|
Rutherford B. Hayes is the current U.S. president. The name of the U.S. president 10 years ago was|Andrew Johnson|""" George H.W. Bush."|
The name of the president 10 years before Rutherford B. Hayes was|Andrew Johnson|""" the first president to be elected to two terms."|
US president Rutherford B. Hayes was inaugurated today. The name of the president in office 10 years ago was|Andrew Johnson|""" William Howard Taft."|
The current president of the US is James A. Garfield. The name of the president 10 years ago was|Ulysses S. Grant|""" Bill Clinton."|
James A. Garfield is the current U.S. president. The name of the U.S. president 10 years ago was|Ulysses S. Grant|""" George W. Bush."|
The name of the president 10 years before James A. Garfield was|Ulysses S. Grant|""" elected president."|
US president James A. Garfield was inaugurated today. The name of the president in office 10 years ago was|Ulysses S. Grant|""" James Garfield."|
The current president of the US is Chester A. Arthur. The name of the president 10 years ago was|Ulysses S. Grant|""" Grover Cleveland."|
Chester A. Arthur is the current U.S. president. The name of the U.S. president 10 years ago was|Ulysses S. Grant|""" Chester A. Arthur."|
The name of the president 10 years before Chester A. Arthur was|Ulysses S. Grant|""" elected president."|
US president Chester A. Arthur was inaugurated today. The name of the president in office 10 years ago was|Ulysses S. Grant|""" Franklin D. Roosevelt."|
The current president of the US is Benjamin Harrison. The name of the president 10 years ago was|Rutherford B. Hayes|""" William Henry Harrison."|
Benjamin Harrison is the current U.S. president. The name of the U.S. president 10 years ago was|Rutherford B. Hayes|""" George W. Bush."|
The name of the president 10 years before Benjamin Harrison was|Rutherford B. Hayes|""" William Henry Harrison."|
US president Benjamin Harrison was inaugurated today. The name of the president in office 10 years ago was|Rutherford B. Hayes|""" Thomas Jefferson."|
The current president of the US is William McKinley. The name of the president 10 years ago was|Grover Cleveland|""" Theodore Roosevelt."|
William McKinley is the current U.S. president. The name of the U.S. president 10 years ago was|Grover Cleveland|""" Bill Clinton."|
The name of the president 10 years before William McKinley was|Grover Cleveland|""" William Henry Harrison."|
US president William McKinley was inaugurated today. The name of the president in office 10 years ago was|Grover Cleveland|""" Theodore Roosevelt."|
The current president of the US is Theodore Roosevelt. The name of the president 10 years ago was|Benjamin Harrison|""" Bill Clinton."|
Theodore Roosevelt is the current U.S. president. The name of the U.S. president 10 years ago was|Benjamin Harrison|""" George H.W. Bush."|
The name of the president 10 years before Theodore Roosevelt was|Benjamin Harrison|""" a man named William Howard Taft."|
US president Theodore Roosevelt was inaugurated today. The name of the president in office 10 years ago was|Benjamin Harrison|""" Franklin D. Roosevelt."|
The current president of the US is William Howard Taft. The name of the president 10 years ago was|William McKinley|""" Herbert Hoover."|
William Howard Taft is the current U.S. president. The name of the U.S. president 10 years ago was|William McKinley|""" Bill Clinton."|
The name of the president 10 years before William Howard Taft was|William McKinley|""" William Howard Taft."|
US president William Howard Taft was inaugurated today. The name of the president in office 10 years ago was|William McKinley|""" Franklin D. Roosevelt."|
The current president of the US is Woodrow Wilson. The name of the president 10 years ago was|Theodore Roosevelt|""" Bill Clinton."|
Woodrow Wilson is the current U.S. president. The name of the U.S. president 10 years ago was|Theodore Roosevelt|""" Bill Clinton."|
The name of the president 10 years before Woodrow Wilson was|Theodore Roosevelt|""" a man named William Howard Taft."|
US president Woodrow Wilson was inaugurated today. The name of the president in office 10 years ago was|Theodore Roosevelt|""" Woodrow Wilson."|
The current president of the US is Warren G. Harding. The name of the president 10 years ago was|William Howard Taft|""" Calvin Coolidge."|
Warren G. Harding is the current U.S. president. The name of the U.S. president 10 years ago was|William Howard Taft|""" Richard Nixon."|
The name of the president 10 years before Warren G. Harding was|William Howard Taft|""" the name of the president 10 years after Warren G. Harding."|
US president Warren G. Harding was inaugurated today. The name of the president in office 10 years ago was|William Howard Taft|""" Herbert Hoover."|
The current president of the US is Calvin Coolidge. The name of the president 10 years ago was|Woodrow Wilson|""" Herbert Hoover."|
Calvin Coolidge is the current U.S. president. The name of the U.S. president 10 years ago was|Woodrow Wilson|""" George W. Bush."|
The name of the president 10 years before Calvin Coolidge was|Woodrow Wilson|""" a man named Calvin Coolidge."|
US president Calvin Coolidge was inaugurated today. The name of the president in office 10 years ago was|Woodrow Wilson|""" John F. Kennedy."|
The current president of the US is Herbert Hoover. The name of the president 10 years ago was|Woodrow Wilson|""" Richard Nixon."|
Herbert Hoover is the current U.S. president. The name of the U.S. president 10 years ago was|Woodrow Wilson|""" Ronald Reagan."|
The name of the president 10 years before Herbert Hoover was|Woodrow Wilson|""" elected."|
US president Herbert Hoover was inaugurated today. The name of the president in office 10 years ago was|Woodrow Wilson|""" Franklin D. Roosevelt."|
The current president of the US is Franklin D. Roosevelt. The name of the president 10 years ago was|Calvin Coolidge|""" Bill Clinton."|
Franklin D. Roosevelt is the current U.S. president. The name of the U.S. president 10 years ago was|Calvin Coolidge|""" Bill Clinton."|
The name of the president 10 years before Franklin D. Roosevelt was|Calvin Coolidge|""" Franklin D. Roosevelt."|
US president Franklin D. Roosevelt was inaugurated today. The name of the president in office 10 years ago was|Calvin Coolidge|""" John F. Kennedy."|
The current president of the US is Harry S. Truman. The name of the president 10 years ago was|Franklin D. Roosevelt|""" Bill Clinton."|
Harry S. Truman is the current U.S. president. The name of the U.S. president 10 years ago was|Franklin D. Roosevelt|""" Bill Clinton."|
The name of the president 10 years before Harry S. Truman was|Franklin D. Roosevelt|""" born."|
US president Harry S. Truman was inaugurated today. The name of the president in office 10 years ago was|Franklin D. Roosevelt|""" Dwight D. Eisenhower."|
The current president of the US is Dwight D. Eisenhower. The name of the president 10 years ago was|Franklin D. Roosevelt|""" George H.W. Bush."|
Dwight D. Eisenhower is the current U.S. president. The name of the U.S. president 10 years ago was|Franklin D. Roosevelt|""" George W. Bush."|
The name of the president 10 years before Dwight D. Eisenhower was|Franklin D. Roosevelt|""" a Republican."|
US president Dwight D. Eisenhower was inaugurated today. The name of the president in office 10 years ago was|Franklin D. Roosevelt|""" Ronald Reagan."|
The current president of the US is John F. Kennedy. The name of the president 10 years ago was|Harry S. Truman|""" Ronald Reagan."|
John F. Kennedy is the current U.S. president. The name of the U.S. president 10 years ago was|Harry S. Truman|""" George W. Bush."|
The name of the president 10 years before John F. Kennedy was|Harry S. Truman|""" John F. Kennedy."|
US president John F. Kennedy was inaugurated today. The name of the president in office 10 years ago was|Harry S. Truman|""" George H.W. Bush."|
The current president of the US is Lyndon B. Johnson. The name of the president 10 years ago was|Dwight D. Eisenhower|""" Bill Clinton."|
Lyndon B. Johnson is the current U.S. president. The name of the U.S. president 10 years ago was|Dwight D. Eisenhower|""" Bill Clinton."|
The name of the president 10 years before Lyndon B. Johnson was|Dwight D. Eisenhower|""" a man named John F. Kennedy."|
US president Lyndon B. Johnson was inaugurated today. The name of the president in office 10 years ago was|Dwight D. Eisenhower|""" Bill Clinton."|
The current president of the US is Richard Nixon. The name of the president 10 years ago was|Dwight D. Eisenhower|""" Gerald Ford."|
Richard Nixon is the current U.S. president. The name of the U.S. president 10 years ago was|Dwight D. Eisenhower|""" Gerald Ford."|
The name of the president 10 years before Richard Nixon was|Dwight D. Eisenhower|""" John F. Kennedy."|
US president Richard Nixon was inaugurated today. The name of the president in office 10 years ago was|Dwight D. Eisenhower|""" Gerald Ford."|
The current president of the US is Gerald Ford. The name of the president 10 years ago was|Lyndon B. Johnson|""" Ronald Reagan."|
Gerald Ford is the current U.S. president. The name of the U.S. president 10 years ago was|Lyndon B. Johnson|""" Gerald Ford."|
The name of the president 10 years before Gerald Ford was|Lyndon B. Johnson|""" a Republican."|
US president Gerald Ford was inaugurated today. The name of the president in office 10 years ago was|Lyndon B. Johnson|""" Gerald Ford."|
The current president of the US is Jimmy Carter. The name of the president 10 years ago was|Richard Nixon|""" Ronald Reagan."|
Jimmy Carter is the current U.S. president. The name of the U.S. president 10 years ago was|Richard Nixon|""" Jimmy Carter."|
The name of the president 10 years before Jimmy Carter was|Richard Nixon|""" Jimmy Carter."|
US president Jimmy Carter was inaugurated today. The name of the president in office 10 years ago was|Richard Nixon|""" Jimmy Carter."|
The current president of the US is Ronald Reagan. The name of the president 10 years ago was|Richard Nixon|""" George H.W. Bush."|
Ronald Reagan is the current U.S. president. The name of the U.S. president 10 years ago was|Richard Nixon|""" George H.W. Bush."|
The name of the president 10 years before Ronald Reagan was|Richard Nixon|""" George H.W. Bush."|
US president Ronald Reagan was inaugurated today. The name of the president in office 10 years ago was|Richard Nixon|""" George H.W. Bush."|
"

Accuracy:0.051470588235294115"|||
